Gene name	Macaque gene name	Macaque homology type
RNU6-394P	U6	ortholog_one2one
PPP1R13B	PPP1R13B	ortholog_one2one
		
CSF2RBP1		
RN7SKP194		
Y_RNA	Y_RNA	ortholog_one2one
		ortholog_one2one
RNU6-309P	U6	ortholog_one2one
MIR374C		
Y_RNA		
		
RN7SL648P	Metazoa_SRP	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_many2many
Metazoa_SRP	Metazoa_SRP	ortholog_many2many
		
TBC1D22A-AS1		
		
RNU6-648P	U6	ortholog_one2one
		
RN7SL74P	Metazoa_SRP	ortholog_one2one
		
		
HIC2	HIC2	ortholog_one2one
MIR545	mml-mir-545	ortholog_one2one
RNA5SP512		
SNORA35B	SNORA35B	ortholog_one2one
MIR374A	mml-mir-374a	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
		
SNORA35	SNORA35	ortholog_one2one
MIR421		
MIR764		
MIR1912		
MIR374B	mml-mir-374b	ortholog_one2one
MIR1264	MIR1264	ortholog_one2one
MIR1298		
MIR1911		
		ortholog_one2one
MIR448	mml-mir-448	ortholog_one2one
		
RNU6-555P	U6	ortholog_one2many
Y_RNA	Y_RNA	ortholog_one2one
RN7SL379P	Metazoa_SRP	ortholog_one2one
RNY3P16	Y_RNA	ortholog_one2one
RNU6-1323P		
MIR548AN		
RNU6-154P	U6	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
RNU6-207P	U6	ortholog_one2one
MIR3672		
Y_RNA	Y_RNA	ortholog_one2one
U3	U3	ortholog_one2one
RNU6-1015P		
		
RNU1-67P	U1	ortholog_one2one
RN7SL118P	Metazoa_SRP	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
		ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2many
Y_RNA	Y_RNA	ortholog_one2many
RNU7-69P	U7	ortholog_one2one
RNU6-616P	U6	ortholog_one2one
MIR1277		
RN7SKP31		
MIR504	mml-mir-504	ortholog_one2one
MIR934	mml-mir-934	ortholog_one2one
RNU6-3P	U6	ortholog_one2one
RN7SKP149		
RNA5SP517		
RNA5SP516		
MIR514A2	mml-mir-514a	ortholog_one2many
MIR514A1	mml-mir-514a	ortholog_one2many
RN7SKP81		
RN7SL190P	Metazoa_SRP	ortholog_one2one
MIR320D2		
RN7SL325P	Metazoa_SRP	ortholog_one2one
MIR892C		
RNU6-320P	U6	ortholog_one2one
MIR514A3	mml-mir-514a	ortholog_one2many
MIR890		
RNU6-985P	U6	ortholog_one2one
MIR888		
MIR892A		
MIR892B		
MIR891B	mml-mir-891a	ortholog_one2one
RNU1-115P	U1	ortholog_one2one
MIR510		
RNU6-383P	U6	ortholog_one2one
MIR891A		
TMPRSS2	TMPRSS2	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
MIR4330		
		
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
RN7SKP267		
RN7SKP189		
RNA5SP525		
		
RNU6-764P	U6	ortholog_one2one
MIR513C		
MIR513B	mml-mir-513a-2	ortholog_one2many
MIR105-1	mml-mir-105-1	ortholog_one2one
MIR513A1		
MIR767	mml-mir-767	ortholog_one2one
MIR513A2	mml-mir-513a-2	ortholog_one2many
MIR105-2	mml-mir-105-2	ortholog_one2one
MIR506	mml-mir-506	ortholog_many2many
MIR506	mml-mir-507	ortholog_many2many
MIR507	mml-mir-506	ortholog_many2many
MIR507	mml-mir-507	ortholog_many2many
MIR508		
MIR514B		
MIR509-2		
MIR509-3	mml-mir-509-1	ortholog_many2many
MIR509-3	mml-mir-509-2	ortholog_many2many
MIR509-1	mml-mir-509-1	ortholog_many2many
MIR509-1	mml-mir-509-2	ortholog_many2many
RNU6-382P	U6	ortholog_one2one
NICN2P		
RN7SL785P		
		
SNORA11C	SNORA11C	ortholog_one2one
		
NPM1P49		
		
Metazoa_SRP	Metazoa_SRP	ortholog_one2many
Metazoa_SRP	Metazoa_SRP	ortholog_one2many
		
LINC01560		
IGKV1OR-3		
NUS1P1		
ATP5F1AP1		
		
FAM74A6		
SYN1	SYN1	ortholog_one2one
		
RPL37P1		
ELAVL2	ELAVL2	ortholog_one2one
		
RN7SKP271		
RNU6-759P		
RBM12	CPNE1	ortholog_one2one
USP6NL-AS1		
LIMCH1	LIMCH1	ortholog_one2one
RPP38-DT		
PABPC1P8		
CCDC7	CCDC7	ortholog_one2one
IGHV1-12		
GOLGA5	GOLGA5	ortholog_one2one
FITM2	FITM2	ortholog_one2one
		
TXNL1P1		
HNF4A-AS1		
RPL23AP69		
LMO7DN		
		
		
LINC01620		
		
		
HNRNPA1P31		
MIR4769		
		
		
ELK1	ELK1	ortholog_one2many
ELK1		ortholog_one2many
PTGER4P2		
LINC00446		
TMEM252-DT		
RPL37AP1		
TTPAL	TTPAL	ortholog_one2one
		
RBM17P2		
MRPS31P5		
PTGER4P3		
		
		
GPR65	GPR65	ortholog_one2one
FAM74A4		
		
GRHPR	GRHPR	ortholog_one2one
TMEM260	TMEM260	ortholog_one2one
WBP4	WBP4	ortholog_one2one
UXT	UXT	ortholog_one2one
SERINC3	SERINC3	ortholog_one2one
IGLC7		ortholog_one2many
IGLC7		ortholog_one2many
IGLC7		ortholog_one2many
IGLJ7		
L3MBTL2	L3MBTL2	ortholog_one2one
UXT-AS1		
LINC02342		
CXXC1P1		
		
LINC00560		
SERTM1	SERTM1	ortholog_one2one
SMSP1		
		
CDK8	CDK8	ortholog_one2one
WASF4P		
RPL7P57		
TIMP1	TIMP1	ortholog_one2one
MX1	MX1	ortholog_one2one
PKIG	PKIG	ortholog_one2one
IFNA20P		
CNTNAP3P2		
ZMYM3	ZMYM3	ortholog_one2one
TRPM6	TRPM6	ortholog_one2one
		
		
ACTR3BP5		
		
		
ELOCP23		
LINC02309		
		
		
		
PABPC1P12		
RPS24P13		
MTND5P3		
SQSTM1P1		
NSUN6	NSUN6	ortholog_one2one
SOX21	SOX21	ortholog_one2one
GALC	GALC	ortholog_one2one
		
		
SLC7A1	SLC7A1	ortholog_one2one
POM121L7P		
E2F6P2		
		
		
		
MFNG	MFNG	ortholog_one2one
DUXAP3		
OR7E115P		
ZNF37CP		
		
		
RN7SL156P	Metazoa_SRP	ortholog_one2one
TLDC2	TLDC2	ortholog_one2one
PIP4K2A	PIP4K2A	ortholog_one2one
		
		
SLC15A1	SLC15A1	ortholog_one2one
RPS3AP3		
RPS27AP3		
RN7SL443P	Metazoa_SRP	ortholog_one2one
		
OSER1	OSER1	ortholog_one2one
MX2	MX2	ortholog_one2one
		
U6	U6	ortholog_one2many
5_8S_rRNA		
U6	U6	ortholog_one2many
Metazoa_SRP	Metazoa_SRP	ortholog_one2many
JPH2	JPH2	ortholog_one2one
		ortholog_one2one
RNU6-816P	U6	ortholog_many2many
RNU6-816P	U6	ortholog_many2many
RNU6-816P	U6	ortholog_many2many
RNU6-816P	U6	ortholog_many2many
Metazoa_SRP		
		
MIR5571		
RN7SKP131		
U2	U2	ortholog_one2many
ACTR3BP6		
RNA5SP495		
RNA5SP494		
MIR650		
MIR3928		
RNU6-1066P	U6	ortholog_one2one
		
RNU6-338P		
RN7SKP169		
RNU6-1128P	U6	ortholog_one2one
		
		
RN7SL20P	Metazoa_SRP	ortholog_one2one
RNU6-743P	U6	ortholog_one2one
MIR3199-1		
		ortholog_one2one
EIF4EBP2P1		
RNA5SP496		
Y_RNA	Y_RNA	ortholog_one2one
MIR3199-2		
RNU6-201P	U6	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
SRSF6	SRSF6	ortholog_one2one
		
RN7SL757P	Metazoa_SRP	ortholog_one2one
SNORD42		
RN7SL704P	Metazoa_SRP	ortholog_one2one
		
RN7SKP210		
RNU6-28P		
Y_RNA		
MIR5739		
MIR3619		
Metazoa_SRP		
		
Metazoa_SRP		
LCA5L	LCA5L	ortholog_one2one
		
		
		
		
		
RNU6-331P	U6	ortholog_one2one
C10orf67	C9H10orf67	ortholog_one2one
MIR6818		
MIR7109		
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
Metazoa_SRP		
SNORD83A	SNORD83A	ortholog_one2one
MIR6821		
SNORD83B	SNORD83B	ortholog_one2one
SNORD43	SNORD43	ortholog_one2one
MIR1249		
RN7SKP252		
RNU6-1161P		
MIR4535		
MIR3201		
		ortholog_one2many
MIR3667		
MIR4762		
Metazoa_SRP		
RN7SL385P		
RNA5SP497		
MIR4766		
RNU6-1251P	U6	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
		
RNU6-379P	U6	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
		
		
Y_RNA		
RNU6-375P	U6	ortholog_one2one
		
MIR6889		
RN7SL633P	Metazoa_SRP	ortholog_one2many
RN7SKP63		
		
RN7SL843P	Metazoa_SRP	ortholog_one2one
		
MIR1281		
		
RN7SKP214		
RPS4XP11		
		
IFT52	IFT52	ortholog_one2one
AKR1C4		
		
		
IGLCOR22-1		
SLC5A4-AS1		
CPSF1P1		
		
		
RFPL3		ortholog_one2many
RPL27AP		
MYBL2	MYBL2	ortholog_one2one
IGLCOR22-2		
CYP4F34P		
RFPL3S		
		
		
ITGB1BP2	ITGB1BP2	ortholog_one2one
PCCA-AS1		
ATP5F1AP10		
		
FGF7P7		
MIR17HG		
CDKN2B-AS1		
RPL39P29		
		
		
		
VENTXP2		
LINC00427		
LINC00543		
		
		
		
LINC00350		
		
		
IGLVIVOR22-2		
MALRD1	MALRD1	ortholog_one2one
		
		
LONRF2P2		
ATP6V1G1P7		
		
LINC02341		
GTSF1L	GTSF1L	ortholog_one2one
RTCB	RTCB	ortholog_one2one
ZCRB1P1		
LINC01034		
RHOG2P		
IGHVII-30-1		
FOXO1	FOXO1	ortholog_one2one
Metazoa_SRP		
CST9	CST9	ortholog_one2one
IGHVII-15-1		
		
LINC02323		
PABPN1P1		
Y_RNA		
INGX		
SMIM26		
		
SOCS6P1		
BDKRB1		
OGT	OGT	ortholog_one2one
ARF4P4		
STK24-AS1		
LINC00381		
SIRPB1		
ATP5PF	ATP5PF	ortholog_one2one
IGHGP		
COG3	COG3	ortholog_one2one
		
LINC01517		
PRIMA1	PRIMA1	ortholog_one2one
IGHV3-38		
IGHV3-22		
		
RBPJP7		
		
		
SS18L2P1		
		
FKBP4P7		
		
IFNA1		ortholog_many2many
IFNA1	IFNA13	ortholog_many2many
NPM1P20		
ST8SIA6	ST8SIA6	ortholog_one2one
RPL4P5		
		
CDCA4	CDCA4	ortholog_one2one
PAX5	PAX5	ortholog_one2one
IGHV3-37		
		
		
ELOBP4		
GMDS	GMDS	ortholog_one2one
OTOR	OTOR	ortholog_one2one
GAD2	GAD2	ortholog_one2one
YWHAH		
LINC01309		
WARS1	WARS1	ortholog_one2one
SRGNP1		
GAPDHP34		
MTND6P18		
		
SRXN1	SRXN1	ortholog_one2one
LRCH1	LRCH1	ortholog_one2one
		
RN7SL305P	Metazoa_SRP	ortholog_one2one
DTD1		ortholog_one2many
DTD1	DTD1	ortholog_one2many
YWHAH-AS1		
FTCD-AS1		
SPATC1L	SPATC1L	ortholog_one2one
		
ASPHD2	ASPHD2	ortholog_one2one
		
LSS	LSS	ortholog_one2one
SRRD	SRRD	ortholog_one2one
OSBPL2	OSBPL2	ortholog_one2one
EXOC2	EXOC2	ortholog_one2one
CXCR3	CXCR3	ortholog_one2one
TFIP11	TFIP11	ortholog_one2one
CLIC2	CLIC2	ortholog_one2one
LINC00428		
LINC00363		
TWF1P2		
GPR180	GPR180	ortholog_one2one
PHF10P1		
SRD5A2P1		
		
		
MIR1184-2		ortholog_one2many
MIR1184-3		ortholog_one2many
H2AB3		ortholog_many2many
H2AB3	H2AFB3	ortholog_many2many
PTMAP5		
TMLHE-AS1		
KRT18P27		
RPL21P112		
		
		
LINC01048		
SCEL-AS1		
TMLHE	TMLHE	ortholog_one2one
		
COX5BP6		
MKX	MKX	ortholog_one2one
NUP58	NUP58	ortholog_one2one
SPRY3	SPRY3	ortholog_one2one
AMD1P2		
DPH3P2		
VAMP7	VAMP7	ortholog_one2one
LINC01394		
		
		
		
FOXF2-DT		
		
LINC00839		
		
		
		
		
HMGN2P28		
		
		
GDF2	GDF2	ortholog_one2one
IRF4	IRF4	ortholog_one2one
C1DP1		
		
HSD17B7P2		
TPST2	TPST2	ortholog_one2one
ELOCP24		
TRPC6P		
		
WASIR1		
GAPDHP22		
		
DDX11L16		
LINC01038		
NXT1P1		
OPN1LW	OPN1LW	ortholog_one2one
		
LINC01074		
		
FTLP8		
CDADC1	CDADC1	ortholog_one2one
		
		
		
MCM3AP-AS1		
		
		
ODAD2	ODAD2	ortholog_one2one
TEX28P2		
		
FAM50B	FAM50B	ortholog_one2one
OPN1MW		ortholog_one2many
MIR548J		
HMGB1P10		
		
		
		
CRYBB1	CRYBB1	ortholog_one2one
		
		
		
		
EEF1E1		
		
ZDHHC4P1		
LINC00430		
TEX28P1		
LINC01080		
FTCD	FTCD	ortholog_one2one
DDX6P2		
		
OPN1MW3		ortholog_one2many
CRYBA4	CRYBA4	ortholog_one2one
ABCC4	ABCC4	ortholog_one2one
TEX28		ortholog_one2many
TEX28		ortholog_one2many
		
Y_RNA		
		
		
TKTL1	TKTL1	ortholog_one2one
		
CICP18		
IL2RB	IL2RB	ortholog_one2one
BLOC1S5		
		
		
		
LINC01108		
TCF4-AS1		
MIR4529		
TCF4-AS2		
RPL5P20		
RPL21P126		
		
LINC01415		
ARPC3P5		
		
		
CHEK2P5		
OFCC1		
		
ITGA8	ITGA8	ortholog_one2one
		
		
		
HLCS	HLCS	ortholog_one2one
PCAT18		
C1QTNF6	C1QTNF6	ortholog_one2one
		
		
U3	U3	ortholog_one2one
SNORA70	SNORA70	ortholog_one2one
		
		
AQP4	AQP4	ortholog_one2one
TAFAZZIN	TAFAZZIN	ortholog_one2one
ADARB1	ADARB1	ortholog_one2one
		
SSTR3	SSTR3	ortholog_one2one
TCL6		
		
FXYD6P1		
LINC02644		
CICP9		
RAC2	RAC2	ortholog_one2one
HNRNPRP1		
		
LINC02658		
SLC9B1P3		
		
SLC39A12	SLC39A12	ortholog_one2one
R3HDML	R3HDML	ortholog_one2one
		
IGHV4-28		ortholog_one2one
HM13	HM13	ortholog_one2one
LINC02320		
IGHV7-34-1		
IGHVIII-11-1		
IGHV3-21		ortholog_one2one
		
IGHVII-26-2		
		
		
		
		
IGHV3-64D		ortholog_one2many
		
		
ELOA3CP		ortholog_one2many
		
IGHVII-30-21		
ASS1P1		
		
		
TMEM170B	TMEM170B	ortholog_one2one
RCOR1	RCOR1	ortholog_one2one
ONECUT2	ONECUT2	ortholog_one2one
NBAT1		
		
LINC00840		
		
		
		
		
TMPRSS6	TMPRSS6	ortholog_one2one
H3P32		
BMS1P10		
NARS1	NARS1	ortholog_one2one
LNC-LBCS		
RPL32P21		
CBWD4P		
		
		
		
		
ANKRD20A4P		ortholog_many2many
ANKRD20A4P		ortholog_many2many
CUBNP1		
IGHV1-17		
LINC02561		
PEBP1P1		
		
KIF26A-DT		
IGHV3-35		
AMD1P1		
SHLD2P2		
		
RD3L	RD3L	ortholog_one2one
		
IGHV3-15	IGHV3-15	ortholog_one2one
PSMC1P11		
		
TRAF3	TRAF3	ortholog_one2one
LINC00581		
ZFAND4	ZFAND4	ortholog_one2one
		
JARID2-DT		
EEF1E1-BLOC1S5		
LINC02521		
RAB28P3		
LYPLA2P3		
		
		
		
TCEA1P4		
		
PPIAP29		
DIS3	DIS3	ortholog_one2one
		
MRPL42P2		
C9orf72	C15H9orf72	ortholog_one2one
		
LINC00518		
KDM1B	KDM1B	ortholog_one2one
		
ATP8B1	ATP8B1	ortholog_one2one
LINC02675		
ELK2AP		
IGHV7-27		
		
RPL21P93		
ASPG	ASPG	ortholog_one2one
MYO3A	MYO3A	ortholog_one2one
		
ABT1	ABT1	ortholog_one2one
		
KRTAP19-7		
		
		
		
BLOC1S5-TXNDC5		
GNAQ	GNAQ	ortholog_one2one
KCNE1		
		
SPTLC1P2		
PIP5K1P1		
BMP6	BMP6	ortholog_one2one
RNU6-742P	U6	ortholog_one2one
RSL24D1P11		
LINC01897		
HMGN1P30		
		
MIR122	mml-mir-122a	ortholog_one2one
		
MIR3591		
		
		
		
COL6A1	COL6A1	ortholog_one2one
ALPK2	ALPK2	ortholog_one2one
		
ALDH1A1	ALDH1A1	ortholog_one2one
TXNDC5	BLOC1S5	ortholog_one2one
GGTLC4P		
		
RIMS4	RIMS4	ortholog_one2one
IGHV3-36		
POM121L9P		
FABP5P4		
LINC00351		
CYP46A1	CYP46A1	ortholog_one2one
LINC02336		
GDI1	GDI1	ortholog_one2one
BRK1P2		
		
		
		
BCRP1		
COG6	COG6	ortholog_one2one
		
		
SNORA108		
RPL9P31		
		
MALT1-AS1		
HAR1B		
		
MALT1	MALT1	ortholog_one2one
		
		
		
		
		
HAR1A		
ZNF322	ZNF322	ortholog_one2one
		
SPECC1L	SPECC1L	ortholog_one2many
		
		
MIR124-3	MIR124-3	ortholog_one2one
YTHDF1	YTHDF1	ortholog_one2one
		
		
		
		
		
		
FGF7P4		
RPSAP75		
		
		
		
BIRC7	BIRC7	ortholog_one2one
HSPA8P17		
		
		
		
CARNMT1-AS1		
OLIG2	OLIG2	ortholog_one2one
C9orf85	C15H9orf85	ortholog_one2one
ARMH2		
NANOGP7		
		
		
IGHV3-25		
		
LINC00945		
VN1R13P		
HDGFL1		
OLIG1		
		
MIR5689HG		
LGMN	LGMN	ortholog_one2one
		
PRELID1P2		
		
EIF2AP4		
FOXQ1	FOXQ1	ortholog_one2one
		
ZNF22-AS1		
		
		
		
		
		
RNF182	RNF182	ortholog_one2one
IGKV1OR9-2		
LINC01548		
		
FAM50A	FAM50A	ortholog_one2one
		
MRPS31	MRPS31	ortholog_one2one
FTLP19		
TACC1P1		
ZNF33CP		
MSRB2	MSRB2	ortholog_one2one
IFNAR2	IFNAR2	ortholog_one2one
FKBP4P6		
MIR3196		
SLC28A3	SLC28A3	ortholog_one2one
NKAIN4	NKAIN4	ortholog_one2one
LINC00383		
GPC5-AS1		
		
		
MEDAG	MEDAG	ortholog_one2one
		
		
		
OR13A1	OR13A1	ortholog_one2one
RPP40	RPP40	ortholog_one2one
OR7E26P		
		
FAM238A		
		
LINC01047		
RPS12P16		
CCNYL2		
		
		
COL4A2	COL4A2	ortholog_one2one
		
PPIAP87		
FOXB2	FOXB2	ortholog_one2one
MIR6858		
PLXNA3	PLXNA3	ortholog_one2one
PGM5	PGM5	ortholog_one2one
FLJ16779		
		
MRPL37P1		
		
		
ARFGAP1	ARFGAP1	ortholog_one2one
		
PTF1A	PTF1A	ortholog_one2one
RNU6-219P	U6	ortholog_one2one
LINC01926		
U8	U8	ortholog_one2one
RNU2-69P	U2	ortholog_one2one
OACYLP		
PRTFDC1	PRTFDC1	ortholog_one2one
SPECC1L-ADORA2A	SPECC1L	ortholog_one2many
		
LURAP1L-AS1		
		
PSAT1		
ADORA2A		
TDGF1P4		
LINC02543		
		
INO80C	INO80C	ortholog_one2one
DEK		ortholog_one2one
SLC34A2	SLC34A2	ortholog_one2one
UBL4A		
DCLRE1C	DCLRE1C	ortholog_one2one
ADORA2A-AS1		
		
SLC10A3	UBL4A	ortholog_one2one
		
FAM242D		
		
		
SDR42E1P2		
		
		
LINC00353		
		
LINC00382		
RN7SL697P	Metazoa_SRP	ortholog_one2one
IDNK	IDNK	ortholog_one2one
		
UPB1	UPB1	ortholog_one2one
G6PD	G6PD	ortholog_one2one
LINC01079		
PTPRM	PTPRM	ortholog_one2one
PEX12P1		
NFYAP1		
PRR20C		
		
		
STARD13	STARD13	ortholog_one2one
BMS1P14		
		
AQP7P4		
		
IL10RB		
		
PPP1R13B-DT		
CCNK	CCNK	ortholog_one2one
		
SNRPD3	SNRPD3	ortholog_one2one
MESTP3		
		
		
RPS26P24		
RASEF	RASEF	ortholog_one2one
LINC00240		
ZNF876P		
IFNAR1	IFNAR1	ortholog_one2one
MT2P1		
		
		
		
UGT2B10		
LINC00533		
SCGN	SCGN	ortholog_one2one
RAB28P2		
		
NMRK1	NMRK1	ortholog_one2one
LRRC75B	LRRC75B	ortholog_one2one
CLBA1	CLBA1	ortholog_one2one
MIR548A1HG		
FAM223A		
LINC01622		
ATF4P2		
		
		
FMN2P1		
		
USF1P1		
RPL7P58		
HMGA1P1		
TFF3	TFF3	ortholog_one2one
RNU1-142P	U1	ortholog_one2one
		
		
LINC02232		
GGT1		ortholog_many2many
GGT1		ortholog_many2many
		
		
		
CARMIL1	CARMIL1	ortholog_one2one
SH3BGR		
ZNF711	ZNF711	ortholog_one2one
		
		
		
AMMECR1LP1		
		
		
POLR1E	POLR1E	ortholog_one2one
		
LINC00433		
		
		
		
		
SETD3	SETD3	ortholog_one2one
		
LINC02380		
CFAP97D2		
		
		
		
TCEAL4P1		
BMI1P1		
TULP3P1		
RAB9B	RAB9B	ortholog_one2one
ATP1B1P1		
ZBTB12BP		
GAPDHP69		
RNA5SP511		
		
H2BP9		
		
		
ELF2P1		
TLR1	TLR1	ortholog_one2one
TMSB15B	TMSB15B	ortholog_one2one
GPC5-IT1		
		
LINC00388		
SLC25A15P2		
NUS1P4		
		
SLITRK6	SLITRK6	ortholog_one2one
POTED		ortholog_many2many
POTED		ortholog_many2many
POTED		ortholog_many2many
POTED		ortholog_many2many
POTED		ortholog_many2many
		
GPC5-AS2		
LINC01055		
TET1P1		
		
SLC25A53P1		
RPL27AP8		
DPPA3P1		
H2BW3P		
FGF14-IT1		
TMSB15B		
		
		
LIMK2P1		
SULT1B1	SULT1B1	ortholog_one2one
PCDH9	PCDH9	ortholog_one2one
		
		
SHC3	SHC3	ortholog_one2one
UMODL1	UMODL1	ortholog_one2one
OR2AD1P		
		
STMND1	STMND1	ortholog_one2one
MSL3	MSL3	ortholog_one2one
RPSAP2		
		
THAP12P5		
		
		
MTCO3P40		
OCIAD1-AS1		
HNRNPA1P14		
GUSBP2		
		
SHISA3	SHISA3	ortholog_one2one
CYP4F25P		
LINC00343		
GOLM1	GOLM1	ortholog_one2one
SMIM14	SMIM14	ortholog_one2one
		
L3MBTL4	L3MBTL4	ortholog_one2one
		
		
RPL13P		
CDYL-AS1		
		
		
LYRM4-AS1		
IGHV1-14		
		
		
		
		
IGHV3-20		
ANKRD17-DT		
		
SOD3	SOD3	ortholog_one2one
LINC02317		
		
VDAC3P1		
BTN2A1		
		
IGHV3-33-2		
GLRXP2		
AHNAK2	AHNAK2	ortholog_one2one
		
SNX18P25		
		
DCAF4L1	DCAF4L1	ortholog_one2one
ATP8A1-DT		
		
CYP1D1P		
		
		
		
CINP	CINP	ortholog_one2one
		
KCTD8	KCTD8	ortholog_one2one
PCA3		
		
HMGB1P44		
		
MTND3P5		
MIR4326		
RNU6-994P	U6	ortholog_one2many
RNU6-994P	U6	ortholog_one2many
MTND6P16		
HNRNPA1P67		
CHRNA4		ortholog_one2many
CHRNA4		ortholog_one2many
LINC02261		
SDAD1		
		
HSPB1P1		
ATP5MFP3		
GATA6	GATA6	ortholog_one2one
		
ANKRD20A3P		ortholog_many2many
ANKRD20A3P		ortholog_many2many
IGHVIII-25-1		
		
IGHV1-24		ortholog_one2many
IGHV1-24		ortholog_one2many
		
IGHV3-33		
		
OR2E1P		
		
		
TTC7B	TTC7B	ortholog_one2one
		
H2AC2P		
ST8SIA5	ST8SIA5	ortholog_one2one
HIVEP1	HIVEP1	ortholog_one2one
		
		
LINC00380		
DNAJC3	DNAJC3	ortholog_one2one
KCNE1B		
		
CYCSP35		
		
		
C13orf46	C17H13orf46	ortholog_one2one
BCRP3		
RCAN1	RCAN1	ortholog_one2one
		
		
KCNQ2-AS1		
		
NUS1P3		
		
SPTLC1P5		
		
PROSER2	PROSER2	ortholog_one2one
HIGD1AP15		
		
NRAD1		
RPL23AP6		
SDAD1P2		
MKKS	MKKS	ortholog_one2one
ARHGAP28	ARHGAP28	ortholog_one2one
		
KATNBL1P5		
		
		
VN1R12P		
		
POM121L10P		
ZKSCAN3	ZKSCAN3	ortholog_one2one
		
ARL5AP4		
RPL7L1P12		
TUT7	TUT7	ortholog_one2one
		
GOLM2P1		
RPL36AP55		
LINC01049		
		
FAM230C		
		
HIRAP1		
		
AKR1C7P		
CRIP1P4		
		
		
TAFA5		ortholog_one2many
TAFA5		ortholog_one2many
CCDC169		
KRT18P1		
		
HLA-U		
MKKS		
		
		
KIAA1217	KIAA1217	ortholog_one2one
MKKS		
NOP56P1		
		
H2BC2P		
EEF1A2	EEF1A2	ortholog_one2one
GFOD1	GFOD1	ortholog_one2one
MAPK1	MAPK1	ortholog_one2one
HLA-K		
NRSN1	NRSN1	ortholog_one2one
IGHVIII-38-1		
RPL3P4		
		
RPL13AP3		
DIO3		
IGHV3-30		
		
		
USP25	USP25	ortholog_one2one
		
PPDPF	PPDPF	ortholog_one2one
		
GPR68	GPR68	ortholog_one2one
		
OR2U2P		
LINC01623		
		
		
JARID2	JARID2	ortholog_one2one
		
PTK6	PTK6	ortholog_one2one
		
IGHA1		ortholog_one2many
SMARCB1	SMARCB1	ortholog_one2one
OR7E105P		
SLC20A1P2		
		
IGHV5-10-1		
FNDC11	FNDC11	ortholog_one2one
		
		
AFM	AFM	ortholog_one2one
LINC00239		
		
LINC02312		
		
ELOVL2	ELOVL2	ortholog_one2one
DEGS2	DEGS2	ortholog_one2one
HELZ2	HELZ2	ortholog_one2one
		
KCNK13	KCNK13	ortholog_one2one
LINC02344		
		
MRPL35P1		
ZMYM5	ZMYM5	ortholog_one2one
MTCO2P33		
SNX18P2		
		
IGHV3-32		
OR2J4P		
		
IGHVII-33-1		
POM121L6P		
		
		
		
SEC63P2		
APBA1	APBA1	ortholog_one2one
		
DCK	DCK	ortholog_one2one
RPL23AP11		
TRIM27	TRIM27	ortholog_one2one
IGHV2-26		
		
NALF1-IT1		
LINC00373		
LINC00391		
		
CENPIP1		
TDP1	TDP1	ortholog_one2one
RELCH	RELCH	ortholog_one2one
TPTE2		ortholog_one2many
RPS20P25		
TYRP1	TYRP1	ortholog_one2one
LY86-AS1		
		
ADGRF5P2		
GNA14	GNA14	ortholog_one2one
CABS1	CABS1	ortholog_one2one
LMO7DN-IT1		
SOX1		
DUTP7		
		
TMPRSS11B	TMPRSS11B	ortholog_one2one
TEX26	TEX26	ortholog_one2one
		
ZFAND5	ZFAND5	ortholog_one2one
		
		
		
HNRNPA1P37		
HCG4B		
MCM8		
		
NALCN-AS1		
		
KRTAP8-2P		
KRTAP8-3P		
		
		
KRTAP8-1		
ZNF90P2		
		
OR2P1P		
ST3GAL1P1		
LINC00358		
		
KRTAP7-1		
LINC02493		
MCCD1P1		
CALM2P4		
KRTAP11-1	KRTAP11-1	ortholog_one2one
ZBED9	ZBED9	ortholog_one2one
		
DGKQ	DGKQ	ortholog_one2one
		
TIAM1	TIAM1	ortholog_one2one
		
		
MYO16	MYO16	ortholog_one2one
UBE2L3		
		
EDN1	EDN1	ortholog_one2one
		
GPX5	GPX5	ortholog_one2one
MTMR3	MTMR3	ortholog_one2one
SAR1AP1		
		
		
E2F3-IT1		
		
SMIM13	SMIM13	ortholog_one2one
		
PGM5-AS1		
OR2B3	OR2B3	ortholog_one2one
HCG9		
		
CARNMT1	CARNMT1	ortholog_one2one
MRPL48P1		
RBM24	RBM24	ortholog_one2one
SMR3B		
PCDH9-AS1		
RPL35P9		
SPINK4	SPINK4	ortholog_one2one
ZNF532	ZNF532	ortholog_one2one
COL4A1	COL4A1	ortholog_one2one
		
SLIRPP2		
		
ZBTB5	ZBTB5	ortholog_one2one
RNU1-94P		
UBE2K	UBE2K	ortholog_one2one
PDRG1	PDRG1	ortholog_one2one
		
KRT18P38		
		
MICD		
		
DDX18P3		
		
		
XKR7	XKR7	ortholog_one2one
KRTAP19-8		
